SCHOOL NAME,ADDRESS,CITY,POSTAL CODE,FSA
St Pius X,71 Jane Street,Toronto,M6S 3Y3,M6S
Regina Mundi,70 Playfair Avenue,Toronto,M6B 2P9,M6B
St Raphael,3 Gade Drive,Toronto,M3M 2K2,M3M
St Rene Goupil,44 Port Royal Trail,Scarborough,M1V 2G8,M1V
St Richard,960 Bellamy Road North,Scarborough,M1H 1H1,M1H
St Rita,178 Edwin Avenue,Toronto,M6P 3Z9,M6P
St Robert,70 Bainbridge Avenue,Toronto,M3H 2K2,M3H
St Roch,174 Duncanwoods Drive,Toronto,M9L 2E3,M9L
St Rose Of Lima,3220 Lawrence Avenue East,Scarborough,M1H 1A4,M1H
Sacred Heart,75 Hupfield Trail,Scarborough,M1B 4S3,M1B
Santa Maria,25 Avon Avenue,Toronto,M6N 4X8,M6N
Senator O`Connor,60 Rowena Drive,Toronto,M3A 3R2,M3A
St Sebastian,717 Brock Avenue,Toronto,M6H 3P1,M6H
St Simon,24 Strathburn Boulevard,Toronto,M9M 2K3,M9M
St Stephen,55 Golfdown Drive,Toronto,M9W 2H8,M9W
St Sylvester,260 Silver Springs Blvd,Scarborough,M1V 1S4,M1V
Stella Maris,31 Ascot Avenue,Toronto,M6E 1E6,M6E
St Theresa Shrine,2665 Kingston Road,Scarborough,M1M 1M2,M1M
St Thomas Aquinas,636 Glenholme Avenue,Toronto,M6E 3G9,M6E
St Thomas More,2300 Ellesmere Road,Scarborough,M1G 3M7,M1G
St Timothy,25 Rochelle Crescent,Scarborough,M2J 1Y3,M2J
Blessed Margherita of Citta Castello,108 Spenvalley Dr,North York,M3L 1Z5,M3L
The Divine Infant,30 Ingleton Boulevard,Scarborough,M1V 3H7,M1V
The Holy Trinity,6 Colonel Samuel Smith Park Dr,Toronto,M8V 4B7,M8V
Transfiguration,55 Ludstone Drive,Toronto,M9R 2J2,M9R
St John,780 Kingston Rd ,Toronto,M4E 1R7,M4E
St Michael's Choir,66 Bond St ,Toronto,M5B 1X2,M5B
St Francis of Assisi,80 Clinton St ,Toronto,M6G 2Y3,M6G
St Jean de Brebeuf,101 Dean Park Road,Scarborough,M1B 2X2,M1B
St Ursula,215 Livingston Road,Scarborough,M1E 1L8,M1E
St Victor,20 Bernadine Street,Scarborough,M1P 4M2,M1P
St Vincent de Paul,116 Fermanagh Avenue,Toronto,M6R 1M2,M6R
Venerable John Merlini,123 Whitfield Avenue,Toronto,M9L 1G9,M9L
St Wilfrid,1685 Finch Avenue West,Toronto,M3J 2G8,M3J
Blessed John XXIII,175 Grenoble Dr,Toronto,M3C 3E7,M3C
St. Andre,36 Yvonne Ave,Toronto,M3L 1C9,M3L
Transfiguration of our Lord,55 Ludstone Dr,Toronto,M9R 2J2,M9R
St Rose of Lima,3220 Lawrence Ave E,Toronto,M1H1A4,M1H
St Luke,319 Ossington Ave ,Toronto,M6J 3A6,M6J
Blessed Kateri Tekakwitha,70 Margaret Avenue,Toronto,M2J 4C5,M2J
Pope Paul,270 Laughton Ave,Toronto,M6N 2X5,M6N
Our Lady of Guadalupe Catholic,3105 Don Mills Rd,Toronto,M2J 3C2,M2J
St Bruno Catholic,402 Melita Crescent ,Toronto,M6G 3X6,M6G
