Index,AreaName,Price ($),lat,lng,Address,City
3182,White Haven,718000,43.790421,-79.252586,36 GLENSTROKE DR,Toronto
3183,Sunnylea,1050000,43.640781,-79.505577,39 SUNNYLEA AVE W,Toronto
3184,Parkwoods - Donalda,1290000,43.76067,-79.340393,28 CAMWOOD CRES,Toronto
3185,Willowdale,399999,43.757408,-79.406853,#938 - 5 EVERSON DR,Toronto
3186,Rexdale,599000,43.736458,-79.584396,22 MASSEYGROVE CRES,Toronto
3187,Jane and Finch,399000,43.751255,-79.528702,#07 - 750 OAKDALE RD,Toronto
3188,C.D. Farquharson,859000,43.786312,-79.259621,76 KEYWORTH TR,Toronto
3189,Downtown,549000,43.647224,-79.391098,#4109 - 21 WIDMER ST,Toronto
3190,Mount Dennis,219000,43.686962,-79.50605,#806 - 85 EMMETT AVE,Toronto
3191,Woodbine - Lumsden,749800,43.693295,-79.313347,238 LUMSDEN AVE,Toronto
3192,Mimico,369000,43.621376,-79.483429,#901 - 15 LEGION RD,Toronto
3193,Wexford - Maryvale,649900,43.75909,-79.309013,133 ELLESMERE RD,Toronto
3194,Downtown,319900,43.668777,-79.383995,#1203 - 45 CHARLES ST E,Toronto
3195,York Mills,8800000,43.743626,-79.391846,75 HIGHLAND CRES,Toronto
