Index,AreaName,Price ($),lat,lng,Address,City
1,Richview,999888,43.679882,-79.544266,86 Waterford Dr,Toronto
2,Downtown,362000,43.651478,-79.368118,#1409 - 230 King St,Toronto
3,Old East York,1488000,43.686375,-79.328918,254A Monarch Park Ave,Toronto
4,Fairbank,25,43.691193,-79.461662,532 Caledonia Rd,Toronto
5,Wallace Emerson,113,43.664101,-79.439751,47 Armstrong Ave,Toronto
6,Old East York,599900,43.697842,-79.317368,3 Bracebridge Ave,Toronto
7,Parkdale,97,43.635578,-79.441345,#808 - 2167 Lake Shore Blvd,Toronto
8,Parkdale,49,43.635578,-79.441345,#2706 - 2167 Lake Shore Blvd,Toronto
9,Downtown,805900,43.666794,-79.388756,#710 - 1080 Bay St,Toronto
10,Midtown Toronto,97,43.662872,-79.423233,#A - 753 Shaw St,Toronto
11,Dorset Park,549900,43.749599,-79.270844,160 Jenkinson Way,Toronto
12,Richview,850000,43.692314,-79.552635,40 Hawthorne Rd,Toronto
13,Downtown,1348000,43.642578,-79.3769,#4905 - 16 Harbour St,Toronto
14,Hillcrest Village,129,43.79948,-79.357445,166 Mcnicoll Ave,Toronto
15,Morningside,675000,43.788639,-79.207932,430 Military Tr,Toronto
16,St. Andrew - Windfields,113,43.759003,-79.392075,67 Montressor Dr,Toronto
