,AreaName,Price ($),lat,lng,Address,City
2394,Nortown,2495000,43.724655,-79.424278,517 CRANBROOKE AVE,Toronto
2395,Downtown,1329900,43.642578,-79.3769,#5002 - 16 HARBOUR ST,Toronto
2396,Downsview,519900,43.750595000000004,-79.464058,#911 - 1060 SHEPPARD AVE W,Toronto
2397,Lansing,675000,43.760303,-79.411621,#2503 - 9 BOGERT AVE,Toronto
2398,Downtown,1149000,43.642272999999996,-79.372704,#808 - 29 QUEENS QUAY E,Toronto
2399,Woodbine Gardens,219000,43.698101,-79.29943100000001,#406 - 4 PARK VISTA DR,Toronto
2400,Willowdale,2150000,43.761501,-79.409882,#Ph18 - 5 SHEPPARD AVE E,Toronto
2401,Mimico,549900,43.624969,-79.478081,#3007 - 59 ANNIE CRAIG DR,Toronto
2402,Willowdale,428800,43.775146,-79.412666,#808 - 880 GRANDVIEW WAY,Toronto
2403,Mimico,399900,43.625541999999996,-79.477242,#1406 - 80 MARINE PARADE DR,Toronto
2404,Downtown,345000,43.643485999999996,-79.392303,#315 - 352 FRONT ST W,Toronto
2405,Downtown,1699990,43.643947999999995,-79.401474,#Ph1421 - 629 KING ST W,Toronto
2406,Alderwood,1148000,43.602165,-79.544388,496 -498 HORNER AVE,Toronto
2407,Midtown Toronto,738000,43.673171999999994,-79.389687,#1303 - 32 DAVENPORT RD,Toronto
2408,Newtonbrook,562000,43.78067,-79.41834300000001,#2519 - 25 GREENVIEW AVE,Toronto
2409,Downtown,389000,43.644455,-79.37653399999999,#2905 - 18 YONGE ST,Toronto
2410,Lansing,629900,43.760303,-79.411621,#3208 - 9 BOGERT AVE,Toronto
2411,Niagara,559000,43.636345,-79.404808,#1604 - 215 FORT YORK BLVD,Toronto
2412,Mimico,349000,43.62381,-79.488022,#2710 - 155 LEGION RD,Toronto
2413,Bridlewood,279800,43.796768,-79.315636,#122 - 5225 FINCH AVE E,Toronto
2414,Downtown,549000,43.641632,-79.38205,#507 - 12 YORK ST,Toronto
2415,Downtown,458900,43.650372,-79.382347,#609 - 70 TEMPERANCE ST,Toronto
2416,Newtonbrook,514900,43.78067,-79.41834300000001,#819 - 25 GREENVIEW AVE,Toronto
2417,Midtown Toronto,2275990,43.685131,-79.410217,#1 - 288 ST CLAIR AVE W,Toronto
2418,Steeles,508888,43.815434,-79.325745,#233 - 25 BAMBURGH CIRC,Toronto
2419,Armdale,366735,43.825053999999994,-79.24681899999999,#40 - 30 IRONSIDE CRES,Toronto
2420,Willowdale,559000,43.769207,-79.412132,#2510 - 33 EMPRESS AVE,Toronto
2421,Willowdale,475000,43.769665,-79.41378,#2301 - 5162 YONGE ST,Toronto
2422,Willowdale,419800,43.777054,-79.41378,#709 - 28 BYNG AVE,Toronto
2423,Willowdale,425000,43.778439,-79.416069,#310 - 5508 YONGE ST,Toronto
2424,Niagara,549000,43.641579,-79.415901,#352 - 1030 KING ST W,Toronto
