,AreaName,Price ($),lat,lng,Address,City,Postal Code,FSA
207,Downtown,355000,43.649055,-79.370361,#529 - 109 FRONT ST E,Toronto,M5A 4P8,M5A
208,Downtown,470000,43.645695,-79.376144,#1601 - 1 THE ESPLANADE,Toronto,M5E 0A8,M5E
209,Kingsview Village,224900,43.69582,-79.556328,#604 - 370 DIXON RD,Toronto,M9R 1T2,M9R
210,Roncesvalles Village,1399900,43.640015,-79.446457,41 RONCESVALLES AVE,Toronto,M6R 2K4,M6R
211,Davenport,25000,43.670437,-79.449425,#A30 - 10 Turntable Cres,Toronto,M6H 4L1,M6H
212,Rexdale,229000,43.724556,-79.616455,#2303 - 710 HUMBERWOOD BLVD,Toronto,M9W 7J4,M9W
213,Agincourt,448000,43.78775,-79.280006,#2 - 2606 MIDLAND AVE,Toronto,M1S 1N3,M1S
214,Downtown,470000,43.645695,-79.376144,#1609 - 1 THE ESPLANADE,Toronto,M5E 0A8,M5E
215,Jane and Finch,174000,43.745918,-79.515724,#407 - 5 Frith Rd,Toronto,M3N 1E9,M3N
216,Midtown Toronto,3149000,43.673679,-79.396523,118 AVENUE RD,Toronto,M5R 2H4,M5R
217,Downtown,399000,43.643246,-79.40126,#426 - 55 STEWART ST,Toronto,M5V 2V8,M5V
218,Rouge,439900,43.828579,-79.249146,#6 - 3001 MARKHAM RD,Toronto,M1X 1L6,M1X
219,Downtown,279000,43.639851,-79.382431,218 QUEENS QUAY W,Toronto,M5J 2Y6,M5J
220,Midtown Toronto,899000,43.687828,-79.433434,209 ATLAS Avenue,Toronto,M6C 3P6,M6C
221,Little Italy,89000,43.655136,-79.415962,646 College St,Toronto,M6G 1B8,M6G
222,Willowdale,325000,43.760181,-79.408218,#1708 - 35 BALES AVE,Toronto,M2N 7L7,M2N
224,Willowdale,447900,43.778435,-79.41333,#1210 - 18 HOLMES AVE,Toronto,M2N 0E1,M2N
225,Trinity - Bellwoods,3399999,43.644142,-79.41996,1030 QUEEN ST W,Toronto,M6J 3A8,M6J
226,Willowdale,549000,43.771309,-79.412926,#1606 - 18 PARKVIEW AVE,Toronto,M2N 5P8,M2N
227,Agincourt,899000,43.779125,-79.271652,78 MARILAKE DR,Toronto,M1S 1V7,M1S
228,Midtown Toronto,519000,43.687836,-79.413376,#506 - 60 MONTCLAIR AVE,Toronto,M5P 1P7,M5P
229,Richview,888000,43.678528,-79.569771,150 Redgrave Dr,Toronto,M9R 3V7,M9R
230,Woburn,267000,43.780956,-79.249779,#919 - 88 Corporate Dr,Toronto,M1H 3G6,M1H
231,Steeles,449800,43.815434,-79.325745,#1239 - 25 BAMBURGH CIRC,Toronto,M1W 3W2,M1W
232,New Toronto,60000,43.601509,-79.501007,2819 LAKE SHORE BLVD W,Toronto,M8V 1H6,M8V
233,Don Valley Village,328000,43.791103,-79.357162,#203 - 177 LINUS RD,Toronto,M2J 4S5,M2J
