,AreaName,Price ($),lat,lng,Address,City,Postal Code,FSA
199,The Beach,45000,43.670956,-79.296677,#2 Floo- 2076 QUEEN ST E,Toronto,M4E 1E1,M4E
200,Midtown Toronto,450990,43.696835,-79.393997,#613 - 68 MERTON ST,Toronto,M4S 0A7,M4S
201,Bedford Park,1848000,43.729828,-79.405182,48 BROOKDALE AVE,Toronto,M5M 1P3,M5M
202,Downtown,88000,43.664925,-79.385109,6 WELLESLEY ST W,Toronto,M4Y 1E7,M4Y
203,Downtown,1449000,43.665428,-79.369476,31 A WINCHESTER ST,Toronto,M4X 1A6,M4X
204,Dovercourt Park,649000,43.663422,-79.436707,1129 DUFFERIN ST,Toronto,M6H 4B7,M6H
205,Grange Park,79000,43.653717,-79.390907,#28 A - 109 MCCAUL ST,Toronto,M5T 2W7,M5T
206,Downtown,339000,43.639782,-79.397949,#218 - 151 DAN LECKIE WAY,Toronto,M5V 4B2,M5V
207,Bloorcourt Village,45000,43.6609,-79.429047,731 DOVERCOURT RD,Toronto,M6H 2W7,M6H
208,Downtown,438800,43.639782,-79.397949,#908 - 151 DAN LECKIE WAY,Toronto,M5V 4B2,M5V
209,Teddington Park,2999990,43.733463,-79.404228,3435 YONGE ST,Toronto,M4N 2N1,M4N
210,Englemount - Lawrence,899999,43.734875,-79.434105,17 STADACONA DR,Toronto,M6A 1Y5,M6A
211,Brockton Village,59000,43.652569,-79.43309,1118 COLLEGE ST,Toronto,M6H 1B6,M6H
212,Willowdale,489000,43.770878,-79.411964,#1106 - 238 DORIS AVE,Toronto,M2N 6W1,M2N
213,Carleton Village,799000,43.670349,-79.45211,100 WILTSHIRE AVE,Toronto,M6N 2V9,M6N
214,Downtown,449900,43.638477,-79.397987,#602 - 75 QUEENS WHARF RD,Toronto,M5V 0J8,M5V
215,Henry Farm,329000,43.774746,-79.336929,#405 - 275 YORKLAND RD,Toronto,M2J 1S3,M2J
216,Midtown Toronto,345990,43.696835,-79.393997,#403 - 68 MERTON ST,Toronto,M4S 0A7,M4S
217,Dorset Park,699000,43.764812,-79.280273,#7 - 1415 KENNEDY RD,Toronto,M1P 2L6,M1P
218,Bayview Village,6488000,43.779873,-79.372559,84 FOREST GROVE DR,Toronto,M2K 1Z7,M2K
219,Downtown,624900,43.643246,-79.40126,#913 - 55 STEWART ST,Toronto,M5V 2V8,M5V
220,L'Amoreaux,465000,43.797626,-79.30674,#4 - 270 TIMBERBANK BLVD,Toronto,M1W 2M1,M1W
221,Midtown Toronto,1319000,43.722679,-79.380157,#7 - 30 HARGRAVE LANE,Toronto,M4N 0A4,M4N
222,Milliken,230000,43.803909,-79.287033,4188 FINCH AVE E,Toronto,M1S 4T7,M1S
223,Bathurst Manor,170000,43.755169,-79.441742,650 SHEPPARD AVE W,Toronto,M3H 2S5,M3H
224,Eglinton East,199000,43.736816,-79.248703,2692 EGLINTON AVE E,Toronto,M1J 1A8,M1J
225,Leaside,95000,43.713066,-79.366119,#107 - 795 EGLINTON AVE E,Toronto,M4G 2L1,M4G
226,Bendale,399800,43.771385,-79.260765,#2101 - 115 OMNI DR,Toronto,M1P 5B4,M1P
227,Cliffcrest,799000,43.734745,-79.225739,25 BELLAMY RD S,Toronto,M1M 3N9,M1M
228,Dorset Park,50000,43.757881,-79.275833,#2 - 180 NANTUCKET BLVD,Toronto,M1P 2N9,M1P
229,Willowdale,629900,43.769981,-79.411751,#2302 - 28 EMPRESS AVE,Toronto,M2N 6Z7,M2N
230,Humber Summit,50900,43.767948,-79.546112,4250 WESTON RD,Toronto,M9L 1R4,M9L
231,Dorset Park,2399000,43.755421,-79.26712,1566 MIDLAND AVE,Toronto,M1P 3C2,M1P
232,Wexford - Maryvale,145500,43.757442,-79.312546,#6 - 85 ELLESMERE RD,Toronto,M1R 4C1,M1R
233,Agincourt,178000,43.805996,-79.287987,#B118 - 3272 MIDLAND AVE,Toronto,M1V 0C7,M1V
234,Bendale,398900,43.768902,-79.268333,#9 - 1220 ELLESMERE RD,Toronto,M1P 2X5,M1P
235,The Kingsway,419000,43.649673,-79.494484,#206 - 2662 BLOOR ST W,Toronto,M8X,M8X
236,Willowdale,332000,43.768181,-79.390923,#419 - 21 CLAIRTRELL RD,Toronto,M2N 5J6,M2N
237,Rouge,949900,43.794567,-79.139496,#18 - 67 KIRKDENE DR,Toronto,M1C 2V6,M1C
238,Long Branch,1199000,43.595394,-79.528358,3409 LAKE SHORE BLVD W,Toronto,M8W 1N2,M8W
239,Agincourt,329000,43.809391,-79.266144,#1501 - 30 THUNDER GRVE,Toronto,M1V 4A3,M1V
240,Silverthorn,990000,43.691364,-79.466621,#B - 24 VENN CRES,Toronto,M6M 1S4,M6M
241,Willowdale,999000,43.775993,-79.432739,206 B FINCH AVE W,Toronto,M2R 1M5,M2R
242,Bendale,418000,43.771309,-79.260719,#835 - 125 OMNI DR,Toronto,M1P 5A6,M1P
243,Malvern,529000,43.811443,-79.219551,35 PROSPERITY PTWY,Toronto,M1B 4H3,M1B
245,Newtonbrook,489900,43.780727,-79.419991,#21 - 49 HENDON AVE,Toronto,M2M 1A4,M2M
246,Agincourt,319500,43.786663,-79.269997,#4 - 4385 SHEPPARD AVE E,Toronto,M1S 1T8,M1S
247,Toronto,317000,43.824078,-79.273773,#701 - 80 ALTON TOWERS CIRC,Toronto,M1V 5E8,M1V
248,Eglinton West,300000,43.694233,-79.456284,2041 EGLINTON AVE W,Toronto,M6E 2K4,M6E
249,St. Andrew - Windfields,3538000,43.757244,-79.398636,55 FAIRMEADOW AVE,Toronto,M2P 1W8,M2P
